LengthOfScreenName,LengthOfDescriptionInUserProfile,DaysSinceCreation,NumberOfFollowings,NumberOfFollowers,Following/Followers Ratio,tweets_by_day,proportion_http,proportion_@,proportion_#,temps_moyen_entre_tweets,temps_max_entre_tweets,repetition_moyenne_tweets,Classe
8.0,132.0,1217.0,3269.0,3071.0,1.064,0.71,0.0653180399602192,0.0386748130968332,0.0072043703845174,29533.18592964824,264985.0,0.055,1
9.0,134.0,1329.0,1949.0,793.0,2.455,0.17,0.1434689706777848,0.0332063603377751,0.0396820567234067,263780.02538071066,7649040.0,0.061,1
12.0,158.0,1272.0,1119.0,9644.0,0.116,30.4,0.0257185924003198,0.0471056477471094,0.0454883601680726,1705.9642857142858,43858.0,0.01,1
11.0,121.0,1105.0,2174.0,6029.0,0.361,11.51,0.0452727016341146,0.0456445380332713,0.0073063732213853,7551.668341708541,74830.0,0.0,1
6.0,70.0,1105.0,7731.0,7029.0,1.1,0.79,0.0427710268483454,0.0061236600302002,0.000532212885154,13131.24120603015,354362.0,0.635,1
6.0,35.0,1261.0,120.0,130.0,0.916,0.54,0.0531360660983677,0.0620471219196481,0.0172020786336512,27829.825641025644,280844.0,0.0,1
8.0,68.0,1186.0,1660.0,23977.0,0.069,19.57,0.0352652328031115,0.1313780703794977,0.0038640371973705,7936.852791878173,92023.0,0.025,1
14.0,106.0,1042.0,1320.0,969.0,1.361,3.39,0.0263365279868635,0.0530544880816726,0.0032507790308626,10833.882653061224,82063.0,0.0,1
13.0,59.0,1060.0,11239.0,10537.0,1.067,2.59,0.1210523018648018,0.0033930846930846,0.013643198304963,13459.562814070352,44498.0,0.01,1
10.0,120.0,1137.0,3779.0,3920.0,0.964,1.61,0.0692448924421027,0.0317369873978939,0.0014986631016042,24478.844221105523,174963.0,0.02,1
5.0,63.0,1035.0,12848.0,12933.0,0.993,2.24,0.1570308441558441,0.0033333333333333,0.0,13966.738693467336,238978.0,0.02,1
12.0,88.0,1040.0,1811.0,2469.0,0.733,2.79,0.03215355152147595,0.024794275454300747,0.0014619883040935,13536.113065326634,166075.0,0.0,1
13.0,101.0,1027.0,3697.0,5129.0,0.721,7.61,0.0312516477545502,0.0682313746641722,0.001375,8350.804020100502,91989.0,0.0,1
14.0,119.0,1025.0,2990.0,3367.0,0.888,2.3,0.0127794385353208,0.0342347938762378,0.0066638178012791,37959.62311557789,310420.0,0.0,1
9.0,22.0,1023.0,13117.0,17053.0,0.769,0.87,0.0873289379394757,0.0220587581083067,0.0057565168715238,22618.221621621626,171699.0,0.0,1
9.0,134.0,1045.0,4942.0,7445.0,0.664,19.69,0.0574638323418105,0.0226537597400953,0.00520381007881,3291.0,80846.0,0.06,1
7.0,89.0,1066.0,1591.0,1683.0,0.945,0.46,0.0883489655825098,0.0044108044733044,0.0072624450712686,105663.3417085427,1459168.0,0.0,1
6.0,73.0,1086.0,4995.0,4570.0,1.093,2.79,0.1204110167223557,0.0554490615163989,0.0088873431350211,2709.959798994975,140239.0,0.08,1
12.0,138.0,1034.0,1076.0,1370.0,0.785,1.91,0.0542406592515708,0.0277812777028687,0.0121658981283594,10847.964824120603,157533.0,0.01,1
9.0,50.0,1039.0,10316.0,12272.0,0.841,1.82,0.0279263252012865,0.0551906311352905,0.0045310150375939,115529.05025125628,2146999.0,0.0,1
8.0,0.0,1070.0,2001.0,1534.0,1.304,3.44,0.1376856684981685,0.0,0.0,2321.0,24253.0,0.0,1
8.0,115.0,1016.0,8266.0,8134.0,1.016,1.29,0.1089512174197528,0.0004,0.0053210631960631,26210.99497487437,170906.0,0.04,1
7.0,157.0,1029.0,745.0,829.0,0.898,1.03,0.0442653768409672,0.0320318507546738,0.0019616593220654,42531.71428571428,328993.0,0.01,1
8.0,146.0,1073.0,3452.0,3467.0,0.995,1.07,0.0489412183716996,0.0126363397498484,0.0041540675962786,10693.338383838382,43778.0,0.0,1
8.0,138.0,1128.0,62962.0,1234960.0,0.051,3.61,0.1047673345327548,0.0094549477980056,0.0019601857837151,7944.484536082474,97331.0,0.062,1
8.0,43.0,1053.0,9214.0,8372.0,1.1,6.33,0.0901070841826749,0.0064782823381571,0.1691957650000077,4560.0,53700.0,0.01,1
11.0,114.0,1077.0,18059.0,17113.0,1.055,3.3,0.0873688385702704,0.0094649031524031,0.0,3353.643216080402,20072.0,0.33,1
13.0,149.0,1099.0,3449.0,6042.0,0.571,6.74,0.03215355152147595,0.024794275454300747,0.0014619883040935,13536.113065326634,166075.0,0.0,1
8.0,105.0,1004.0,6071.0,5913.0,1.027,2.06,0.0261686904109852,0.0418740124468942,0.0025710937313147,18791.105555555558,300277.0,0.044,1
6.0,139.0,1027.0,17100.0,16779.0,1.019,7.79,0.0223246224249478,0.0765418872852636,0.0280728701120496,8983.441489361701,128693.0,0.0,1
10.0,155.0,1155.0,1998.0,1797.0,1.111,3.05,0.1102775740458684,0.0581657405778307,0.0427603173341809,7887.108571428572,88496.0,0.125,1
6.0,21.0,1090.0,241.0,85.0,2.802,0.16,0.03215355152147595,0.024794275454300747,0.0014619883040935,13536.113065326634,166075.0,0.0,1
9.0,55.0,1086.0,9811.0,8951.0,1.096,2.02,0.0495221284016975,0.0431284752386289,0.0398450476821585,15760.429292929291,101478.0,0.02,1
10.0,28.0,1068.0,565.0,215.0,2.616,0.44,0.03215355152147595,0.024794275454300747,0.0014619883040935,13536.113065326634,166075.0,0.0,1
8.0,38.0,1088.0,1715.0,620.0,2.762,5.21,0.0668047179279813,0.0196915862793203,0.0,7963.0,85617.0,0.4569999999999999,1
11.0,37.0,1018.0,1060.0,299.0,3.533,0.26,0.0660168628133452,0.0247357854090027,0.0037808994467285,184794.14141414143,4207144.0,0.04,1
4.0,67.0,1005.0,7133.0,7060.0,1.01,1.94,0.1473024647566056,0.0002631578947368,0.0084519981437551,12894.678391959798,129796.0,0.1,1
6.0,105.0,1017.0,13746.0,15414.0,0.892,4.82,0.0118987534309515,0.0583198554385857,0.003943414303329,20907.331658291456,567575.0,0.0,1
8.0,116.0,1020.0,786.0,341.0,2.298,0.07,0.0562034367089768,0.0317190850085586,0.0188818004607478,1574875.982142857,87538869.0,0.0,1
6.0,130.0,981.0,8172.0,7567.0,1.08,1.7,0.0390778571075952,0.0164598951274193,0.0008958333333333,34830.23115577889,370163.0,0.0,1
8.0,121.0,1003.0,18933.0,17429.0,1.086,8.08,0.0685347946528203,0.0016050338550338,0.0,1194.0402010050252,10203.0,0.115,1
14.0,99.0,1159.0,22318.0,22359.0,0.998,0.99,0.063005364414866,0.0052445699725111,0.0011269841269841,82547.85427135679,643626.0,0.08,1
7.0,37.0,1170.0,4851.0,4472.0,1.085,10.34,0.0307826022811623,0.0286145655790741,0.0011780513698672,6347.502538071066,75324.0,0.0,1
7.0,143.0,976.0,13782.0,13694.0,1.006,0.76,0.0509872913992942,0.0590709549874033,0.0491555009868894,43660.113402061856,555862.0,0.01,1
9.0,14.0,968.0,5223.0,5118.0,1.02,0.06,0.0321695219275411,0.0116182550393076,0.0,1493240.4107142857,30100684.0,0.0,1
7.0,157.0,983.0,8054.0,8000.0,1.007,3.03,0.1001861943955597,0.0,0.0,8184.201005025126,61437.0,0.0,1
9.0,36.0,967.0,16967.0,15424.0,1.1,11.53,0.1783540497385311,0.0099314545748369,0.0073108974358974,6657.778894472362,104342.0,0.64,1
9.0,74.0,1007.0,10937.0,11365.0,0.962,0.42,0.0995860721525867,0.0359065250776,0.0048490708389185,82870.07653061225,723971.0,0.03,1
8.0,145.0,1016.0,16593.0,15082.0,1.1,1.2,0.0859608938865515,0.0047902913259105,0.0002093802345058,31393.696969696968,1124092.0,0.06,1
14.0,151.0,964.0,14379.0,13072.0,1.1,5.97,0.0819222350861972,0.0265587069010393,0.0092820466570466,6254.628140703518,33029.0,0.01,1
7.0,144.0,962.0,2597.0,10097.0,0.257,8.04,0.0555378883717558,0.0527073273316875,0.0302957080638055,8301.141414141413,312550.0,0.015,1
10.0,0.0,1110.0,423.0,63.0,6.609,0.02,0.03215355152147595,0.024794275454300747,0.0014619883040935,13536.113065326634,166075.0,0.0,1
8.0,51.0,964.0,191.0,174.0,1.091,0.07,0.1049609506559221,0.0075763907713623,0.0,1366403.6229508198,81807557.0,0.032,1
11.0,133.0,1137.0,4302.0,5119.0,0.84,2.52,0.0076710534816466,0.0747275826753019,0.0346467200391993,4541.949494949495,77690.0,0.0,1
11.0,15.0,981.0,9018.0,9111.0,0.99,2.82,0.0597284994202563,0.0019914529914529,0.0002777777777777,47389.49246231155,309537.0,0.19,1
11.0,115.0,980.0,1869.0,1431.0,1.305,2.22,0.0407124920411165,0.1350310259253481,0.0824551529382573,6665.419191919191,594435.0,0.0,1
12.0,156.0,975.0,339.0,150.0,2.245,0.05,0.0122896928065098,0.0374237472106735,0.0,877872.5576923077,8455760.0,0.0,1
13.0,157.0,985.0,3512.0,4492.0,0.782,1.09,0.0191779010330324,0.0456002855408223,0.0119126790256026,29081.484848484844,298687.0,0.0,1
12.0,104.0,965.0,3673.0,3567.0,1.029,1.33,0.0482214544385832,0.0,0.0,11610.1959798995,57600.0,0.04,1
9.0,81.0,1133.0,9072.0,16454.0,0.551,3.68,0.0516193031105138,0.0854884855229285,0.0078263380620732,7589.010695187166,119554.0,0.0,1
6.0,0.0,975.0,949.0,82.0,11.434,0.01,0.0,0.0,0.0,16854297.6,84191778.0,0.0,1
8.0,68.0,955.0,462.0,127.0,3.609,0.01,0.1120969048776535,0.0,0.0,8254881.2,62815352.0,0.0,1
12.0,0.0,1061.0,2206.0,2005.0,1.1,1.7,0.03215355152147595,0.024794275454300747,0.0014619883040935,13536.113065326634,166075.0,0.0,1
